name,currency,price,Boat REF,Length,Year,Construction,Underwater profile,Sleeping berths,Engine,Lying
Jeanneau Sun Odyssey 519,,,320347,,,,,,,
Gaff Rigged Open Carvel Gaffer,GBP,4250.00,315060,5.79,unknown year,Wood,Lifting Keel,,,Narberth
Sadler 25,GBP,4250.00,311731,7.42,1978,GRP,Fin,5,1 x diesel 9hp/ Yanmar 1GM10 (2004),Essex
Teal 22,GBP,4250.00,313645,7.32,1975,GRP,Planing,,1 x gasoline 9.9hp/ Mariner 9.9hp 4 Stroke (2010),Thorpe St Andrew/ Norwich
Lagoon 46 Flybridge,,,316356,,,,,,,
Tamar 24 Motor Sailer,GBP,3995.00,314530,7.23,1977,GRP,Shallow Long Keel,4,1 x diesel 18hp/ Lister/Petter (1977),Falmouth
Trident 24 Lifting Keel,GBP,3995.00,303310,7.30,1971,GRP,Lifting Keel,4,1 x diesel 10hp/ Yanmar 1GM10 (2015),River Orwell
Colvic Watson 26 FISHING BOAT,GBP,3950.00,316650,7.90,1975,GRP,Bilge,1,1 x diesel 35hp/ BMC (unknown year),Cardiff
FolkDancer 27,GBP,3950.00,311313,8.23,1965,GRP,Long Keel,5,1 x diesel 15hp/ Beta Marine (2017),Suffolk
Bavaria 51 Cruiser,,,320157,,,,,,,
Sparkman &amp; Stephens Yankee  50 Steel Ketch,EUR,280000.00,147652,15.42,1975,Steel,Long Keel,6,1 x diesel 165hp/ Daimler Benz OM346 (1975),Costa Brava
Beneteau Oceanis 51.1,,,316350,,,,,,,
Bavaria 46 Cruiser,,,320154,,,,,,,
Bavaria 46 Cruiser,,,320162,,,,,,,
Hanse 508,,,316576,,,,,,,
Hanse 508,,,316554,,,,,,,
British Hovercraft  Company Snapper,GBP,3500.00,313331,3.00,unknown year,GRP,Other,,1 x gasoline 25hp/ Kohler CH 25s (unknown year),Neyland/ Pembrokeshire
One Off Build Crockford 40,GBP,3500.00,317632,12.00,unknown year,Wood,Full-Displacement,,1 x diesel 40hp/ Lister Diesel (unknown year),Neyland/ Pembrokeshire
Van De Stadt Invicta,GBP,3500.00,302722,8.00,1966,GRP,Long Keel,4,1 x diesel 10hp/ Yanmar 1GM10 (2017),Neyland/ Pembrokeshire
Bowman 26,GBP,3500.00,312611,7.92,1968,GRP,Long Keel,4,1 x diesel 9hp/ Yanmar GM 10 (unknown year),Cardiff
Westerly Tiger 25 Fin Keel,GBP,3500.00,320052,7.62,1975,GRP,Fin,6,1 x diesel 7hp/ Volvo MD6A (1975),Essex
Residential Barge TRIVW Until  07/2028,EUR,279750.00,241477,24.80,2010,Steel,Full-Displacement,8,1 x diesel 170hp/ DEUTZ (2007),NORTH FRANCE
Com-Pac 16,GBP,3500.00,315204,4.93,1985,GRP,Lifting Keel,2,1 x gasoline 3.3hp/ Mariner (unknown year),Neyland/ Pembrokeshire
Hanse 458,,,316604,,,,,,,
Stand Up Boat (SUB) 14,USD,4200.00,313436,4.28,New,GRP,Planing,,1 x gasoline 15hp/ Yamaha or Suzuki,Western Cape
Bavaria 46 Cruiser,,,320151,,,,,,,
Hanse 508,,,316315,,,,,,,
Hunter 701 Lifting Keel,GBP,3250.00,314024,7.01,1980,GRP,Lifting Keel,4,1 x gasoline 4hp/ Mercury (2006),Essex
Cox Marine Ltd Brightlingsea Matelot 21,GBP,3250.00,321026,6.40,1984,GRP,Full-Displacement,2,1 x diesel 16hp/ Khun 16 (unknown year),North East 
Relcraft 23 Opal Aft Cockpit,GBP,3250.00,310254,7.45,1982,GRP,Planing,2,1 x gasoline 120hp/ Mercruiser 120hp 4 cylinder petrol (1982),St Olaves
Dufour 460 Grand Large,,,321144,,,,,,,
Eventide 36 Cruiser Wooden Yacht,GBP,3000.00,306753,10.97,1974,Wood,Shallow Long Keel,3,1 x diesel 10hp/ Lister (1974),Essex
Dutch Barge Luxe Motor Rebuilt  In 2008,EUR,279000.00,271012,22.00,1911,Steel,Full-Displacement,4,1 x diesel 175hp/ DAF (DKA) 1160-M (unknown year),South Burgundy
